type,n,algo,threshold,time
random,9500,hybrid,5,3111.6
random,9500,hybrid,10,2650.6
random,9500,hybrid,15,2648
random,9500,hybrid,20,2364.6
random,9500,hybrid,30,2354.2
random,9500,hybrid,50,2216.8
random,9600,standard,0,5253
random,9600,hybrid,5,3141.4
random,9600,hybrid,10,2661
random,9600,hybrid,15,2663.8
random,9600,hybrid,20,2404.4
random,9600,hybrid,30,2381.6
random,9600,hybrid,50,2263
random,9700,standard,0,5306.6
random,9700,hybrid,5,3151.8
random,9700,hybrid,10,2681.8
random,9700,hybrid,15,2680
random,9700,hybrid,20,2396.8
random,9700,hybrid,30,2392
random,9700,hybrid,50,2267.2
random,9800,standard,0,5356.2
random,9800,hybrid,5,3182.6
random,9800,hybrid,10,2718
random,9800,hybrid,15,2715.6
random,9800,hybrid,20,2425.8
random,9800,hybrid,30,2417
random,9800,hybrid,50,2284.2
random,9900,standard,0,5444.4
random,9900,hybrid,5,3247.2
random,9900,hybrid,10,2753
random,9900,hybrid,15,2761.4
random,9900,hybrid,20,2471.4
random,9900,hybrid,30,2457
random,9900,hybrid,50,2356
random,10000,standard,0,5617
random,10000,hybrid,5,3261.4
random,10000,hybrid,10,2779
random,10000,hybrid,15,2771.4
random,10000,hybrid,20,2480.4
random,10000,hybrid,30,2484
random,10000,hybrid,50,2344.2
random,10100,standard,0,5536.6
random,10100,hybrid,5,3265.2
random,10100,hybrid,10,2796.4
random,10100,hybrid,15,2790.6
random,10100,hybrid,20,2506.4
random,10100,hybrid,30,2498.4
random,10100,hybrid,50,2369.4
random,10200,standard,0,5591.4
random,10200,hybrid,5,3374.8
random,10200,hybrid,10,2924
random,10200,hybrid,15,2915.2
random,10200,hybrid,20,2600.8
random,10200,hybrid,30,2550.6
random,10200,hybrid,50,2490.6
random,10300,standard,0,5846
random,10300,hybrid,5,3370.2
random,10300,hybrid,10,2907.6
random,10300,hybrid,15,2852.8
random,10300,hybrid,20,2628.4
random,10300,hybrid,30,2570.8
random,10300,hybrid,50,2426.8
random,10400,standard,0,5842.2
random,10400,hybrid,5,3432.4
random,10400,hybrid,10,2972
random,10400,hybrid,15,2889
random,10400,hybrid,20,2687.2
random,10400,hybrid,30,2583.4
random,10400,hybrid,50,2459
random,10500,standard,0,5799.6
random,10500,hybrid,5,3489.2
random,10500,hybrid,10,3034.6
random,10500,hybrid,15,2910.6
random,10500,hybrid,20,2766.6
random,10500,hybrid,30,2604.2
random,10500,hybrid,50,2626.8
random,10600,standard,0,6408.2
random,10600,hybrid,5,3728
random,10600,hybrid,10,3134
random,10600,hybrid,15,2985.4
random,10600,hybrid,20,2891.8
random,10600,hybrid,30,2642.6
random,10600,hybrid,50,2498.4
random,10700,standard,0,6095
random,10700,hybrid,5,3613.8
random,10700,hybrid,10,3194.8
random,10700,hybrid,15,2967
random,10700,hybrid,20,2940.6
random,10700,hybrid,30,2696.6
random,10700,hybrid,50,2549
random,10800,standard,0,6161.6
random,10800,hybrid,5,3690
random,10800,hybrid,10,3269.2
random,10800,hybrid,15,2980.6
random,10800,hybrid,20,2969.4
random,10800,hybrid,30,2728.2
random,10800,hybrid,50,2564
random,10900,standard,0,6193
random,10900,hybrid,5,3756.4
random,10900,hybrid,10,3359
random,10900,hybrid,15,3012.4
random,10900,hybrid,20,3011.6
random,10900,hybrid,30,2711.4
random,10900,hybrid,50,2682.8
random,11000,standard,0,6066.4
random,11000,hybrid,5,3798.8
random,11000,hybrid,10,3393.4
random,11000,hybrid,15,3023.2
random,11000,hybrid,20,3017.2
random,11000,hybrid,30,2725.6
random,11000,hybrid,50,2625.6
random,11100,standard,0,6124.6
random,11100,hybrid,5,3859
random,11100,hybrid,10,3459.8
random,11100,hybrid,15,3039.4
random,11100,hybrid,20,3039
random,11100,hybrid,30,2781.4
random,11100,hybrid,50,2656.6
random,11200,standard,0,6183.8
random,11200,hybrid,5,3936.2
random,11200,hybrid,10,3558.8
random,11200,hybrid,15,3081.2
random,11200,hybrid,20,3078.6
random,11200,hybrid,30,2778.4
random,11200,hybrid,50,2667.2
random,11300,standard,0,6216.4
random,11300,hybrid,5,3992.8
random,11300,hybrid,10,3585
random,11300,hybrid,15,3088.8
random,11300,hybrid,20,3088.2
random,11300,hybrid,30,2791
random,11300,hybrid,50,2688.2
random,11400,standard,0,6277.2
random,11400,hybrid,5,4035.8
random,11400,hybrid,10,3606.6
random,11400,hybrid,15,3122.4
random,11400,hybrid,20,3121.6
random,11400,hybrid,30,2823.2
random,11400,hybrid,50,2704.8
random,11500,standard,0,6338.2
random,11500,hybrid,5,4128.6
random,11500,hybrid,10,3655.6
random,11500,hybrid,15,3169.6
random,11500,hybrid,20,3173
random,11500,hybrid,30,2863
random,11500,hybrid,50,2743.4
random,11600,standard,0,6432.8
random,11600,hybrid,5,4211
random,11600,hybrid,10,3695
random,11600,hybrid,15,3182.6
random,11600,hybrid,20,3172.8
random,11600,hybrid,30,2897.8
random,11600,hybrid,50,2769.4
random,11700,standard,0,6489.2
random,11700,hybrid,5,4334.6
random,11700,hybrid,10,3697.6
random,11700,hybrid,15,3198.2
random,11700,hybrid,20,3226
random,11700,hybrid,30,2904.8
random,11700,hybrid,50,2792.8
random,11800,standard,0,6522.6
random,11800,hybrid,5,4302
random,11800,hybrid,10,3721.2
random,11800,hybrid,15,3218.8
random,11800,hybrid,20,3226.4
random,11800,hybrid,30,2919
random,11800,hybrid,50,2821.2
random,11900,standard,0,6540.8
random,11900,hybrid,5,4371.4
random,11900,hybrid,10,3778.4
random,11900,hybrid,15,3255.2
random,11900,hybrid,20,3259.8
random,11900,hybrid,30,2953.6
random,11900,hybrid,50,2852.8
random,12000,standard,0,6819.4
random,12000,hybrid,5,4459.8
random,12000,hybrid,10,3801.2
random,12000,hybrid,15,3284.2
random,12000,hybrid,20,3279.2
random,12000,hybrid,30,2987.6
random,12000,hybrid,50,2883.6
random,12100,standard,0,6708
random,12100,hybrid,5,4496
random,12100,hybrid,10,3827.4
random,12100,hybrid,15,3310.4
random,12100,hybrid,20,3306.2
random,12100,hybrid,30,3003.4
random,12100,hybrid,50,2906
random,12200,standard,0,6746.6
random,12200,hybrid,5,4553.2
random,12200,hybrid,10,3829.6
random,12200,hybrid,15,3346.4
random,12200,hybrid,20,3440.2
random,12200,hybrid,30,3125
random,12200,hybrid,50,3020.8
random,12300,standard,0,6789.8
random,12300,hybrid,5,4604.4
random,12300,hybrid,10,3863.6
random,12300,hybrid,15,3355.4
random,12300,hybrid,20,3362.8
random,12300,hybrid,30,3054.2
random,12300,hybrid,50,2963
random,12400,standard,0,6821.8
random,12400,hybrid,5,4634.4
random,12400,hybrid,10,3889.4
random,12400,hybrid,15,3383.6
random,12400,hybrid,20,3385.6
random,12400,hybrid,30,3170.8
random,12400,hybrid,50,3056.6
random,12500,standard,0,6893.2
random,12500,hybrid,5,4653.2
random,12500,hybrid,10,3914
random,12500,hybrid,15,3402.4
random,12500,hybrid,20,3411
random,12500,hybrid,30,3194.6
random,12500,hybrid,50,3035.6
random,12600,standard,0,7251.4
random,12600,hybrid,5,4826.4
random,12600,hybrid,10,4054.4
random,12600,hybrid,15,3528.2
random,12600,hybrid,20,3511.4
random,12600,hybrid,30,3222.6
random,12600,hybrid,50,3103.8
random,12700,standard,0,7204.8
random,12700,hybrid,5,4818
random,12700,hybrid,10,4003.6
random,12700,hybrid,15,3489.8
random,12700,hybrid,20,3496.4
random,12700,hybrid,30,3182
random,12700,hybrid,50,3074.2
random,12800,standard,0,7230.8
random,12800,hybrid,5,4862.2
random,12800,hybrid,10,4086.8
random,12800,hybrid,15,3587.6
random,12800,hybrid,20,3580.6
random,12800,hybrid,30,3243
random,12800,hybrid,50,3124.4
random,12900,standard,0,7286.8
random,12900,hybrid,5,4857.4
random,12900,hybrid,10,4071.8
